source,target,0.9 Availability,0.99 Availability,0.999 Availability
1,2,0.81,0.9801,0.998001
1,3,0.81,0.9801,0.998001
1,4,0.73046034,0.978945457,0.997989046
1,5,0.74194478,0.979135599,0.997991036
1,6,0.748912562,0.979232581,0.997992033
1,7,0.748912562,0.979232581,0.997992033
1,8,0.774198,0.979615811,0.997996016
1,9,0.774198,0.979615811,0.997996016
1,10,0.79461,0.97990496,0.997999005
1,11,0.79461,0.97990496,0.997999005
2,3,0.79461,0.97990496,0.997999005
2,4,0.737374978,0.97904243,0.997990043
2,5,0.748912562,0.979232581,0.997992033
2,6,0.7558272,0.979329553,0.99799303
2,7,0.756064052,0.979329591,0.99799303
2,8,0.7821441,0.979713801,0.997997014
2,9,0.780759,0.979711871,0.997997012
2,10,0.79461,0.97990496,0.997999005
2,11,0.81,0.9801,0.998001
3,4,0.737262785,0.979042411,0.997990043
3,5,0.748912562,0.979232581,0.997992033
3,6,0.756064052,0.979329591,0.99799303
3,7,0.7558272,0.979329553,0.99799303
3,8,0.780759,0.979711871,0.997997012
3,9,0.7821441,0.979713801,0.997997014
3,10,0.81,0.9801,0.998001
3,11,0.79461,0.97990496,0.997999005
4,5,0.81,0.9801,0.998001
4,6,0.788049,0.9798089,0.997998009
4,7,0.81,0.9801,0.998001
4,8,0.788049,0.9798089,0.997998009
4,9,0.780759,0.979711871,0.997997012
4,10,0.7617321,0.979424652,0.997994025
4,11,0.7623882,0.979425613,0.997994026
5,6,0.81,0.9801,0.998001
5,7,0.81,0.9801,0.998001
5,8,0.79461,0.97990496,0.997999005
5,9,0.79461,0.97990496,0.997999005
5,10,0.774198,0.979615811,0.997996016
5,11,0.774198,0.979615811,0.997996016
6,7,0.79461,0.97990496,0.997999005
6,8,0.79461,0.97990496,0.997999005
6,9,0.81,0.9801,0.998001
6,10,0.7821441,0.979713801,0.997997014
6,11,0.780759,0.979711871,0.997997012
7,8,0.81,0.9801,0.998001
7,9,0.79461,0.97990496,0.997999005
7,10,0.780759,0.979711871,0.997997012
7,11,0.7821441,0.979713801,0.997997014
8,9,0.81,0.9801,0.998001
8,10,0.8019,0.98000199,0.998000002
8,11,0.81,0.9801,0.998001
9,10,0.81,0.9801,0.998001
9,11,0.8019,0.98000199,0.998000002
10,11,0.81,0.9801,0.998001
