source,target,0.9 Availability,0.99 Availability,0.999 Availability
1,2,0.81,0.9801,0.998001
1,3,0.757242954,0.979162849,0.997991065
1,4,0.715724013,0.978413241,0.997983117
1,5,0.684981857,0.977851102,0.997977156
1,6,0.664674906,0.977476374,0.997973181
1,7,0.654577527,0.977289019,0.997971194
1,8,0.684981857,0.977851102,0.997977156
1,9,0.715724013,0.978413241,0.997983117
1,10,0.757242954,0.979162849,0.997991065
1,11,0.654577527,0.977289019,0.997971194
1,12,0.81,0.9801,0.998001
1,13,0.664674906,0.977476374,0.997973181
2,3,0.81,0.9801,0.998001
2,4,0.757242954,0.979162849,0.997991065
2,5,0.715724013,0.978413241,0.997983117
2,6,0.684981857,0.977851102,0.997977156
2,7,0.654577527,0.977289019,0.997971194
2,8,0.664674906,0.977476374,0.997973181
2,9,0.684981857,0.977851102,0.997977156
2,10,0.715724013,0.978413241,0.997983117
2,11,0.664674906,0.977476374,0.997973181
2,12,0.757242954,0.979162849,0.997991065
2,13,0.654577527,0.977289019,0.997971194
3,4,0.81,0.9801,0.998001
3,5,0.757242954,0.979162849,0.997991065
3,6,0.715724013,0.978413241,0.997983117
3,7,0.664674906,0.977476374,0.997973181
3,8,0.654577527,0.977289019,0.997971194
3,9,0.664674906,0.977476374,0.997973181
3,10,0.684981857,0.977851102,0.997977156
3,11,0.684981857,0.977851102,0.997977156
3,12,0.715724013,0.978413241,0.997983117
3,13,0.654577527,0.977289019,0.997971194
4,5,0.81,0.9801,0.998001
4,6,0.757242954,0.979162849,0.997991065
4,7,0.684981857,0.977851102,0.997977156
4,8,0.654577527,0.977289019,0.997971194
4,9,0.654577527,0.977289019,0.997971194
4,10,0.664674906,0.977476374,0.997973181
4,11,0.715724013,0.978413241,0.997983117
4,12,0.684981857,0.977851102,0.997977156
4,13,0.664674906,0.977476374,0.997973181
5,6,0.81,0.9801,0.998001
5,7,0.715724013,0.978413241,0.997983117
5,8,0.664674906,0.977476374,0.997973181
5,9,0.654577527,0.977289019,0.997971194
5,10,0.654577527,0.977289019,0.997971194
5,11,0.757242954,0.979162849,0.997991065
5,12,0.664674906,0.977476374,0.997973181
5,13,0.684981857,0.977851102,0.997977156
6,7,0.757242954,0.979162849,0.997991065
6,8,0.684981857,0.977851102,0.997977156
6,9,0.664674906,0.977476374,0.997973181
6,10,0.654577527,0.977289019,0.997971194
6,11,0.81,0.9801,0.998001
6,12,0.654577527,0.977289019,0.997971194
6,13,0.715724013,0.978413241,0.997983117
7,8,0.757242954,0.979162849,0.997991065
7,9,0.715724013,0.978413241,0.997983117
7,10,0.684981857,0.977851102,0.997977156
7,11,0.81,0.9801,0.998001
7,12,0.664674906,0.977476374,0.997973181
7,13,0.81,0.9801,0.998001
8,9,0.81,0.9801,0.998001
8,10,0.757242954,0.979162849,0.997991065
8,11,0.715724013,0.978413241,0.997983117
8,12,0.715724013,0.978413241,0.997983117
8,13,0.81,0.9801,0.998001
9,10,0.81,0.9801,0.998001
9,11,0.684981857,0.977851102,0.997977156
9,12,0.757242954,0.979162849,0.997991065
9,13,0.757242954,0.979162849,0.997991065
10,11,0.664674906,0.977476374,0.997973181
10,12,0.81,0.9801,0.998001
10,13,0.715724013,0.978413241,0.997983117
11,12,0.654577527,0.977289019,0.997971194
11,13,0.757242954,0.979162849,0.997991065
12,13,0.684981857,0.977851102,0.997977156
