source,target,availability
0,1,0.9801
0,2,0.9801
0,3,0.9801
0,4,0.9801
0,5,0.9801
0,6,0.9801
0,7,0.9801
0,8,0.9801
0,9,0.9801
1,2,0.9801
1,3,0.9801
1,4,0.9801
1,5,0.9801
1,6,0.9801
1,7,0.9801
1,8,0.9801
1,9,0.9801
2,3,0.9801
2,4,0.9801
2,5,0.9801
2,6,0.9801
2,7,0.9801
2,8,0.9801
2,9,0.9801
3,4,0.9801
3,5,0.9801
3,6,0.9801
3,7,0.9801
3,8,0.9801
3,9,0.9801
4,5,0.9801
4,6,0.9801
4,7,0.9801
4,8,0.9801
4,9,0.9801
5,6,0.9801
5,7,0.9801
5,8,0.9801
5,9,0.9801
6,7,0.9801
6,8,0.9801
6,9,0.9801
7,8,0.9801
7,9,0.9801
8,9,0.9801
