[src-dst],min-cutsets
"[0, 1]","[[0], [1], [18, 24], [18, 45], [24, 49], [45, 49], [47, 49], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [29, 46, 48]]"
"[0, 2]","[[0], [2], [10, 37], [10, 49], [13, 37], [13, 49], [14, 37], [14, 49], [25, 37], [25, 49], [31, 37], [31, 49], [10, 18, 24], [10, 18, 45], [10, 28, 42], [10, 28, 46], [10, 29, 46], [12, 37, 48], [12, 48, 49], [13, 18, 24], [13, 18, 45], [14, 18, 24], [14, 18, 45], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 24, 25], [18, 24, 31], [18, 25, 45], [18, 31, 45], [29, 37, 48], [29, 46, 48], [29, 48, 49]]"
"[0, 3]","[[0], [3], [5, 10, 13], [5, 10, 28], [5, 10, 31], [5, 13, 14], [5, 13, 21], [5, 13, 22], [5, 13, 35], [5, 13, 43], [5, 14, 28], [5, 14, 31], [5, 21, 31], [5, 22, 31], [5, 31, 35], [5, 31, 43], [6, 10, 28], [6, 14, 28], [10, 13, 32], [10, 22, 28], [10, 28, 32], [10, 28, 38], [10, 28, 48], [10, 31, 32], [12, 28, 48], [13, 14, 32], [13, 21, 32], [13, 22, 32], [13, 32, 35], [13, 32, 43], [14, 22, 28], [14, 28, 32], [14, 28, 38], [14, 28, 48], [14, 31, 32], [21, 31, 32], [22, 31, 32], [28, 29, 48], [29, 46, 48], [31, 32, 35], [31, 32, 43]]"
"[0, 4]","[[0], [4], [10, 38, 44], [10, 44, 48], [12, 44, 48], [14, 38, 44], [14, 44, 48], [29, 44, 48], [29, 46, 48], [35, 44, 48]]"
"[0, 5]","[[0], [5], [4, 22, 25], [29, 46, 48]]"
"[0, 6]","[[0], [6], [22, 38], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [22, 35, 48], [22, 39, 48], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 7]","[[0], [6], [7], [22, 38], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [22, 35, 48], [22, 39, 48], [28, 29, 48], [29, 44, 48], [29, 46, 48]]"
"[0, 8]","[[0], [8], [2, 13], [13, 37], [13, 49], [25, 49], [10, 28, 42], [10, 28, 46], [10, 29, 46], [13, 18, 24], [13, 18, 45], [14, 28, 42], [14, 28, 46], [14, 29, 46], [18, 24, 25], [18, 25, 45], [29, 46, 48]]"
"[0, 9]","[[0], [9], [10, 28, 42], [10, 28, 46], [10, 29, 46], [14, 28, 42], [14, 28, 46], [14, 29, 46], [16, 23, 24], [16, 23, 33], [16, 23, 42], [16, 23, 46], [16, 28, 42], [16, 28, 46], [29, 46, 48]]"
"[0, 10]","[[0], [10], [29, 46, 48]]"
